UniProt	GeneSym
Q6ISS4	LAIR2
Q9NPA2	MMP25
Q6ZV70	LANCL3
Q9H306	MMP27
P11279	LAMP1
Q71RC2	LARP4
P13473	LAMP2
O95835	LATS1
Q14847	LASP1
P09237	MMP7
A0A183	LCE6A
Q06136	KDSR
Q16774	GUK1
Q13237	PRKG2
Q7Z7F0	KHDC4
Q96FN5	KIF12
Q9NQT8	KIF13B
Q14943	KIR3DS1
Q2TAC6	KIF19
Q99661	KIF2C
Q12756	KIF1A
Q8IX03	WWC1
O14782	KIF3C
Q14807	KIF22
Q12840	KIF5A
Q5T7B8	KIF24
B7ZC32	KIF28P
Q6ZMV9	KIF6
Q9HAQ2	KIF9
Q8N4N8	KIF2B
O60870	KIN
Q96AC6	KIFC2
Q9UH77	KLHL3
Q8IXQ5	KLHL7
O43240	KLK10
Q9UBX7	KLK11
Q9UKR0	KLK12
Q13241	KLRD1
P49862	KLK7
O15229	KMO
Q8NG31	KNL1
Q3LI66	KRTAP6-2
Q3LI67	KRTAP6-3
Q3LI72	KRTAP19-5
Q9BYQ4	KRTAP9-2
P0C7H8	KRTAP2-3
Q9BYR8	KRTAP3-1
Q9BYR7	KRTAP3-2
Q9BYR5	KRTAP4-2
Q9BYR4	KRTAP4-3
Q9BYR3	KRTAP4-4
Q9BYR2	KRTAP4-5
Q9BYR0	KRTAP4-7
Q9BYQ8	KRTAP4-9
Q5JUW0	KRBOX4
Q9NPI7	KRCC1
Q05655	PRKCD
Q13601	KRR1
Q15418	RPS6KA1
O76011	KRT34
Q15349	RPS6KA2
Q14533	KRT81
P43405	SYK
Q14525	KRT33B
P01042	KNG1
Q96QS6	PSKH2
Q3LI81	KRTAP27-1
Q8IUC0	KRTAP13-1
Q6L8G8	KRTAP5-7
P05771	PRKCB
Q9BYS1	KRTAP1-5
Q9BYT5	KRTAP2-2
Q3LI54	KRTAP19-8
Q3MIV0	KRTAP22-1
Q3LHN0	KRTAP25-1
Q6ZNG9	KRBA2
Q9BZL6	PRKD2
P78386	KRT85
O43790	KRT86
Q02156	PRKCE
P60370	KRTAP10-5
Q8NCW0	KREMEN2
Q107X0	KLKP1
O76009	KRT33A
Q9UK32	RPS6KA6
Q96S38	RPS6KC1
Q8NBR6	MINDY2
Q9H8M7	MINDY3
Q9H081	MIS12
Q96FF7	MISP3
A8MYZ0	MINDY4B
Q13164	MAPK7
P53779	MAPK10
P53778	MAPK12
O75449	KATNA1
Q8TD08	MAPK15
A0A0C4DH68	IGKV2-24
P01611	IGKV1D-12
A0A0B4J2D9	IGKV1D-13
A0A087WSY6	IGKV3D-15
P04432	IGKV1D-39
Q9ULZ9	MMP17
P45983	MAPK8
Q9BVA0	KATNB1
Q9NVR5	DNAAF2
Q9UL63	MKLN1
A0A087WSZ0	IGKV1D-8
A0A0A0MRZ8	IGKV3D-11
Q9BUB5	MKNK1
P01619	IGKV3-20
A0A075B6S6	IGKV2D-30
P01593	IGKV1D-33
A0A0C4DH72	IGKV1-6
A0A0C4DH67	IGKV1-8
A0A0B4J1Z2	IGKV1D-43
P04430	IGKV1-16
P01599	IGKV1-17
A0A075B6S5	IGKV1-27
P45452	MMP13
P50281	MMP14
Q16363	LAMA4
Q8MH63	SLC7A5P1
Q8IWV1	LAX1
Q8N370	SLC43A2
A4D0S4	LAMB4
P52954	LBX1
P04180	LCAT
P07195	LDHB
P07864	LDHC
Q9BU76	MMTAG2
P01130	LDLR
O95751	LDOC1
A8MUM7	LGALS16
Q6P5S2	LEG1
A6PVL3	KNCN
Q1ED39	KNOP1
A8MX34	KRTAP29-1
Q52LG2	KRTAP13-2
Q6L8G9	KRTAP5-6
A8MUX0	KRTAP16-1
Q8IUC2	KRTAP8-1
Q9BYU5	KRTAP2-1
Q3SYF9	KRTAP19-7
Q9BYQ2	KRTAP9-4
A8MTY7	KRTAP9-7
Q3LI59	KRTAP21-2
Q49AS3	LRRC37A5P
Q9Y6C7	LINC00312
P18627	LAG3
P42167	TMPO
P07942	LAMB1
P05455	SSB
Q9NRM7	LATS2
P14780	MMP9
Q53QV2	LBH
P18428	LBP
Q5T751	LCE1C
O14633	LCE2B
Q5TA81	LCE2C
Q86U70	LDB1
Q96T76	MMS19
Q6ZRQ5	MMS22L
Q86WU2	LDHD
P47929	LGALS7
Q96B70	LENG9
O95214	LEPROTL1
Q5VWX1	KHDRBS2
O15037	KHNYN
P24723	PRKCH
Q6L8G5	KRTAP5-10
Q8IUB9	KRTAP19-1
Q3LHN2	KRTAP19-2
Q7Z4W3	KRTAP19-3
Q3LI73	KRTAP19-4
Q3LI70	KRTAP19-6
Q6L8H4	KRTAP5-1
Q701N4	KRTAP5-2
Q701N2	KRTAP5-5
P60371	KRTAP10-6
P60409	KRTAP10-7
P60410	KRTAP10-8
O75582	RPS6KA5
P01594	IGKV1-33
P01601	IGKV1D-16
A0A0C4DH25	IGKV3D-20
A0A0A0MRZ7	IGKV2D-26
P01615	IGKV2D-28
A0A075B6S2	IGKV2D-29
P32004	L1CAM
O00515	LAD1
O75900	MMP23B
Q9Y6N6	LAMC3
Q659C4	LARP1B
Q9UHI5	SLC7A8
Q9BRS8	LARP6
Q9BQE6	LBHD1
A0A0U1RRK4	LBHD2
Q9BYE3	LCE3D
Q68G75	LEMD1
Q5JSQ8	KHDC1L
Q14954	KIR2DS1
Q9H1H9	KIF13A
Q8N743	KIR3DL3
Q9NS87	KIF15
Q8NI77	KIF18A
Q9Y6Z4	KIF25-AS1
Q8N7Y1	KIRREL3-AS3
O95235	KIF20A
O60333	KIF1B
O43896	KIF1C
P52732	KIF11
Q02241	KIF23
Q9UIL4	KIF25
Q9BW19	KIFC1
Q9BVG8	KIFC3
Q6UWL6	KIRREL2
O75037	KIF21B
Q8TBQ9	TMEM167A
Q9NVR0	KLHL11
Q53G59	KLHL12
Q96M94	KLHL15
Q6TDP4	KLHL17
O94889	KLHL18
Q9Y2M5	KLHL20
Q53GT1	KLHL22
Q8NBE8	KLHL23
Q6TFL4	KLHL24
Q9NZS2	KLRF1
D3W0D1	KLRF2
Q8WZ60	KLHL6
A4D1S0	KLRG2
Q9P2G9	KLHL8
Q9UKR3	KLK13
P06870	KLK1
Q12918	KLRB1
P20151	KLK2
P07288	KLK3
Q9Y337	KLK5
O60256	PRPSAP2
Q3LI60	KRTAP20-3
Q3LI68	KRTAP22-2
Q15139	PRKD1
Q07666	KHDRBS1
Q9Y496	KIF3A
O95239	KIF4A
Q03426	MVK
O60282	KIF5C
Q2M1P5	KIF7
Q92845	KIFAP3
Q9NRX6	TMEM167B
Q6JEL2	KLHL10
Q9P2N7	KLHL13
Q9P2G3	KLHL14
Q9UJP4	KLHL21
Q9H0H3	KLHL25
Q9UKQ9	KLK9
P03952	KLKB1
Q96E93	KLRG1
Q9P2J3	KLHL9
Q5SVS4	SLC25A30
Q9H2R5	KLK15
Q92876	KLK6
O60259	KLK8
Q76NI1	KNDC1
Q5T749	KPRP
P41743	PRKCI
O75380	NDUFS6
Q96LZ2	MAGEB10
Q5VYJ5	MALRD1
Q92585	MAML1
Q6ZN16	MAP3K15
Q9Y2U8	LEMD3
Q9NQG1	MANBAL
A6NHS7	MANSC4
Q5TCQ9	MAGI3
Q15223	NECTIN1
Q96NY8	NECTIN4
Q96PU5	NEDD4L
Q6UB28	METAP1D
P50579	METAP2
Q15843	NEDD8
Q9P0N8	MARCH2
Q7Z434	MAVS
O95460	MATN4
Q7Z3B1	NEGR1
Q9H7P6	MVB12B
Q6ZNC8	MBOAT1
O60942	RNGTT
Q96N66	MBOAT7
Q8TD19	NEK9
P33991	MCM4
Q8IXH7	NELFCD
P33992	MCM5
Q13257	MAD2L1
Q14676	MDC1
Q9UI95	MAD2L2
Q7Z553	MDGA2
Q8NCW5	NAXE
P0C7V9	METTL15P1
Q03112	MECOM
Q13423	NNT
O60244	MED14
Q9NP64	ZCCHC17
Q93074	MED12
Q15648	MED1
Q9H944	MED20
Q8NC60	NOA1
O95402	MED26
O75448	MED24
Q6P2C8	MED27
Q8WTT2	NOC3L
Q9H204	MED28
Q9BVI4	NOC4L
Q9UK39	NOCT
P78316	NOP14
Q9Y3C1	NOP16
P46087	NOP2
Q9NZM5	NOP53
O00567	NOP56
Q02080	MEF2B
Q06413	MEF2C
Q8N6Q8	METTL25
Q7Z7M0	MEGF8
Q5TIA1	MEI1
A8MW99	MEI4
Q8TD46	CD200R1
Q99583	MNT
O15381	NVL
P58417	NXPH1
O95157	NXPH3
Q6ZVC0	NYAP1
Q9P242	NYAP2
O95396	MOCS3
B2RN74	OR11H12
Q8NGS4	OR13F1
Q9HD47	RANGRF
Q9UQ07	MOK
Q96PD6	MOGAT1
Q3SYC2	MOGAT2
Q7Z3U7	MON2
Q9Y6X9	MORC2
Q14149	MORC3
Q8NHV5	MOSMO
Q5VZ52	MORN5
Q9HCE1	MOV10
P36021	SLC16A2
Q8NGT7	OR2A12
A6NM03	OR2AG2
Q2QL34	MPV17L
Q8NG76	OR2T33
Q8NGX1	OR2T34
Q6IF82	OR4A47
A6NMZ5	OR4C45
Q8NGB8	OR4F15
Q8TCB6	OR51E1
O95563	MPC2
Q8NH63	OR51H1
A6NMU1	OR52A4P
Q8NGK2	OR52B4
Q8NGJ4	OR52E2
Q8NH67	OR52I2
Q8NH60	OR52J3
Q8NGF1	OR52R1
Q6IF63	OR52W1
P0C646	OR52Z1
Q8NGH5	OR56A1
Q8NH54	OR56A3
Q8NGH8	OR56A4
Q8NH89	OR5AK3P
P0C617	OR5AL1
Q8NGC0	OR5AU1
A6NDH6	OR5H15
A6NCV1	OR6C74
A6NM76	OR6C76
P34949	MPI
P30304	CDC25A
Q53F39	MPPE1
Q8N594	MPND
Q10713	PMPCA
O00566	MPHOSPH10
O75439	PMPCB
O15442	MPPED1
P29728	OAS2
O75352	MPDU1
P39210	MPV17
Q96T17	MAP7D2
Q9BW11	MXD3
P43356	MAGEA2
Q14582	MXD4
Q8N5G2	MACO1
O60307	MAST3
Q7KZI7	MARK2
Q86UD3	MARCH3
P35410	MAS1L
A4D2B0	MBLAC1
P59942	MCCD1
Q9NS73	MBIP
Q96RQ3	MCCC1
Q9Y2X0	MED16
Q13503	MED21
Q9BUE0	MED18
A0JLT2	MED19
Q15528	MED22
Q71SY5	MED25
O60393	NOBOX
Q14814	MEF2D
Q8N6F8	METTL27
Q92570	NR4A3
Q10469	MGAT2
Q99685	MGLL
Q9BQP7	MGME1
Q92823	NRCAM
Q9BUR5	APOO
Q16674	MIA
Q5JXC2	MIIP
P14174	MIF
Q86XE3	MICU3
Q8N3F8	MICALL1
Q96C03	MIEF2
Q9UHC7	MKRN1
P39900	MMP12
Q96EY8	MMAB
Q9UBU9	NXF1
Q9H1B4	NXF5
Q8N323	NXPE1
Q96DL1	NXPE2
Q70IA8	MOB3C
Q9UKK6	NXT1
Q9NPJ8	NXT2
Q8NGE3	OR10P1
Q8NGQ4	OR10Q1
Q8NGX6	OR10R2
Q8NGN2	OR10S1
O96007	MOCS2
Q8NGY0	OR10X1
Q8NGY1	OR10Z1
Q96EN8	MOCOS
Q9GZK7	OR11A1
Q9H3H1	TRIT1
Q8NGS5	OR13C4
Q8NGS8	OR13C5
Q8NH95	OR13C6P
Q8NGZ3	OR13G1
Q8NGT2	OR13J1
Q96R54	OR14A2
Q8NHC5	OR14A16
Q8NHC7	OR14C36
A6ND48	OR14I1
Q86VX9	MON1A
Q9NRJ1	C8orf17
P00540	MOS
A0A0C5B5G6	MT-RNR1
Q8TF71	SLC16A10
Q7RTY0	SLC16A13
Q6UVY6	MOXD1
Q96R47	OR2A14
A6NHM9	MOXD2P
Q8NGE2	OR2AP1
P36507	MAP2K2
Q2M385	MPEG1
P46734	MAP2K3
Q8NH64	OR51A7
Q5TCX8	MAP3K21
Q12851	MAP4K2
Q3KP22	MAJIN
Q9ULX9	MAFF
O43283	MAP3K13
Q15691	MAPRE1
O15021	MAST4
P33032	MC5R
P61244	MAX
Q6VMQ6	ATF7IP
A0A1B0GVZ6	MBD3L2B
O43772	SLC25A20
Q96PE7	MCEE
Q16891	IMMT
Q6Q8B3	CD200R1L
Q8IZK6	MCOLN2
Q14566	MCM6
Q86SG6	NEK8
Q9H3P2	NELFA
Q8WX92	NELFB
Q6DN12	MCTP2
P08235	NR3C2
Q9NWR8	MCUB
Q71F56	MED13L
Q99750	MDFI
Q86XA0	METTL23
Q96IZ6	METTL2A
A6BM72	MEGF11
O75095	MEGF6
P16455	MGMT
Q9H7Z3	NRDE2
O94851	MICAL2
Q9NX63	CHCHD3
Q7Z3K6	MIER3
Q96AX9	MIB2
Q8IY33	MICALL2
Q9UHC1	MLH3
Q5VWP3	MLIP
Q13434	MKRN4P
Q8NB16	MLKL
Q9HAP2	MLXIP
P58340	MLF1
Q8NEH6	MNS1
Q149M9	NWD1
Q5VZ03	NXNL2
Q6DKJ4	NXN
Q96BY2	MOAP1
Q86TA1	MOB3B
Q6UWF7	NXPE4
O95156	NXPH2
Q6NXP6	NOXRED1
Q6IF99	OR10K2
O96033	MOCS2
Q13875	MOBP
Q8NG94	OR11H1
P58182	OR12D2
Q9UGF7	OR12D3
Q8NGS9	OR13C2
Q8NHC6	OR14L1P
Q9Y605	MRFAP1
Q13724	MOGS
Q86VF5	MOGAT3
Q16653	MOG
P21941	MATN1
Q9HCC0	MCCC2
O43324	EEF1E1
Q9BQD1	PMCHL2
Q6ZWH5	NEK10
Q8NG66	NEK11
Q07820	MCL1
Q9GZU1	MCOLN1
Q8TDD5	MCOLN3
P08493	MGP
Q86V88	MDP1
Q99735	MGST2
Q9UBM8	MGAT4C
Q09328	MGAT5
Q8N4Q1	CHCHD4
Q7Z6M3	MILR1
Q6NVV0	MKRN9P
H3BPM6	MKRN2OS
P41218	MNDA
O95983	MBD3
O95243	MBD4
O15068	MCF2L
Q8IWI9	MGA
Q3V5L5	MGAT5B
Q96A72	MAGOHB
Q9UM21	MGAT4A
P26572	MGAT1
Q504T8	MIDN
Q9BRT3	MIEN1
Q29980	MICB
Q6ZW33	MICALCL
Q86YT6	MIB1
Q9BPX6	MICU1
Q9GZQ8	MAP1LC3B
Q9BXW4	MAP1LC3C
Q9NXB0	MKS1
Q5HYA8	TMEM67
Q8IYA7	MKX
Q9UH92	MLX
P09238	MMP10
P43360	MAGEA6
P49137	MAPKAPK2
Q9P2E8	MARCH4
Q9NZL9	MAT2B
P43243	MATR3
Q5VZF2	MBNL2
Q96FI4	NEIL1
Q5U623	ATF7IP2
Q9P267	MBD5
Q8TAT5	NEIL3
Q5XKP0	MIC13
Q9BRQ6	CHCHD6
Q29983	MICA
Q9H3L0	MMADHC
Q01449	MYL7
O14950	MYL12B
P24347	MMP11
Q8IVH4	MMAA
Q9H008	LHPP
Q96GY3	LIN37
Q2Q1W2	TRIM71
Q5VYY2	LIPM
Q5T7N2	L1TD1
A1A4G5	LNP1
P49257	LMAN1
Q6ZMQ8	AATK
P18054	ALOX12
Q08397	LOXL1
Q9UN81	L1RE1
Q9Y4K0	LOXL2
P23490	LOR
Q9BQK8	LPIN3
P09917	ALOX5
Q9H756	LRRC19
Q96QE4	LRRC37B
Q8N5H3	FAM89B
A4D1F6	LRRD1
Q8TF66	LRRC15
Q9C099	LRRCC1
Q9Y2L9	LRCH1
O60938	KERA
P46019	PHKA2
P50748	KNTC1
P51511	MMP15
Q15334	LLGL1
Q8IV20	LACC1
Q9H9P8	L2HGDH
Q9NRE1	MMP26
Q01650	SLC7A5
Q86VI4	LAPTM4B
Q9UJQ1	LAMP5
O95461	LARGE1
Q9Y4W2	LAS1L
P08253	MMP2
Q14739	LBR
Q6UWP7	LCLAT1
Q86VQ0	LCA5
Q13201	MMRN1
Q96PV6	LENG8
O00182	LGALS9
P19256	CD58
O75610	LEFTY1
Q92604	LPGAT1
O95970	LGI1
Q6MZP7	LIN54
Q7Z4I7	LIMS2
P06858	LPL
Q8IVB5	LIX1L
Q96KR4	LMLN
Q8N9Z9	LMNTD1
O75022	LILRB3
Q6UX01	LMBR1L
Q9BYJ1	ALOXE3
O75145	PPFIA3
Q9UHB6	LIMA1
P54317	PNLIPRP2
Q8IXW0	LMNTD2
Q12907	LMAN2
Q8NA19	L3MBTL4
Q8WVP7	LMBR1
Q93052	LPP
Q16609	LPAL2
A6NIK2	LRRC10B
A6NHZ5	LRRC14B
O75427	LRCH4
Q5SZI1	LDLRAD2
A6NM36	LRRC30
Q8N1G4	LRRC47
Q8IZ02	LRRC34
Q9HBW1	LRRC4
Q96DD0	LRRC39
Q9Y608	LRRFIP2
Q8ND56	LSM14A
Q86UE6	LRRTM1
P98164	LRP2
A4QPB2	LRP5L
O43504	LAMTOR5
A0A075B6J6	IGLV3-22
A0A075B6J1	IGLV5-37
A0A0A0MRZ9	IGLV5-52
P01703	IGLV1-40
O75648	TRMU
O75431	MTX2
E2RYF6	MUC22
Q9H195	MUC3B
P98088	MUC5AC
Q6W4X9	MUC6
Q8TAX7	MUC7
Q96DR8	MUCL1
Q6ZUX7	LHFPL2
Q13136	PPFIA1
P0CW19	LIMS3
P0CW20	LIMS4
Q96S06	LMF1
Q99677	LPAR4
Q14693	LPIN1
Q8NC56	LEMD2
P41159	LEP
Q2VYF4	LETM2
Q9UKN1	MUC12
Q08380	LGALS3BP
O75473	LGR5
Q9H2C1	LHX5
Q9NQ69	LHX9
Q96FE5	LINGO1
O75023	LILRB5
Q05469	LIPE
Q6XZB0	LIPI
P16233	PNLIP
A0A0A0MT76	IGLJ1
Q96L50	LRR1
A6NI73	LILRA5
Q969R5	L3MBTL2
Q8N448	LNX2
Q8TE12	LMX1A
P58215	LOXL3
Q96BZ8	LENG1
P48357	LEPR
Q9ULD2	MTUS1
Q8N387	MUC15
Q685J3	MUC17
Q7Z5P9	MUC19
Q5SSG8	MUC21
Q3MIW9	MUCL3
Q969G2	LHX4
P42702	LIFR
Q9BT23	LIMD2
P0C6S8	LINGO3
Q52LA3	LIN52
Q8NG48	LINS1
P48059	LIMS1
Q9Y234	LIPT1
Q8N6C8	LILRA3
Q9Y468	L3MBTL1
Q8NHL6	LILRB1
Q8N423	LILRB2
Q8IWU2	LMTK2
P20700	LMNB1
O00214	LGALS8
Q3ZCW2	LGALSL
Q13505	MTX1
O00292	LEFTY2
O43766	LIAS
Q6ZQX7	LIAT1
Q9H400	LIME1
Q6UY18	LINGO4
P53667	LIMK1
O14910	LIN7A
Q5VXI9	LIPN
Q8N485	LIX1
Q9H0V9	LMAN2L
Q96JM7	L3MBTL3
Q8TAP4	LMO3
P55344	LIM2
P61968	LMO4
A0A1B0GTW7	LMLN2
Q8WWI1	LMO7
Q86W92	PPFIBP1
Q8ND30	PPFIBP2
P11150	LIPC
Q17RR3	PNLIPRP3
Q5VXJ0	LIPK
Q8TD35	LKAAEAR1
P09960	LTA4H
O75019	LILRA1
Q8N149	LILRA2
P02545	LMNA
Q9NZU5	LMCD1
P29536	LMOD1
Q1L5Z9	LONRF2
P09848	LCT
Q8TAF5	FLVCR1-AS1
Q86X40	LRRC28
Q05C16	LRRC63
O95777	LSM8
O75581	LRP6
Q8N8F7	LSMEM1
Q86VH4	LRRTM4
Q6IPT4	CYB5RL
A2RRP1	NBAS
Q16873	LTC4S
P09382	LGALS1
Q8N0V4	LGI2
Q86UP9	LHFPL3
Q8TAF8	LHFPL5
Q7L985	LINGO2
P38571	LIPA
P43034	PAFAH1B1
Q9HAT1	LMAN1L
P54315	PNLIPRP1
Q9BU23	LMF2
Q6ZN17	LIN28B
O00370	null
Q15345	LRRC41
Q96AG4	LRRC59
Q14392	LRRC32
Q7Z2Q7	LRRC70
Q5JTD7	LRRC73
Q8IUZ0	LRRC49
Q96NI6	LRFN5
A6PVS8	LRRIQ3
Q96E66	LRTOMT
Q7L1W4	LRRC8D
Q96PB8	LRRC3B
A6NM62	LRRC53
Q9H089	LSG1
Q8N112	LSMEM2
O00453	LST1
Q8WV07	LTO1
Q96GA3	LTV1
O94822	LTN1
P0DP58	LYNX1
P01709	IGLV2-8
O95711	LY86
Q9Y6Y9	LY96
O60299	LZTS3
Q96S90	LYSMD1
Q96QH8	SPACA5
Q6P0N0	MIS18BP1
Q9BXT6	MOV10L1
Q8N8E1	MAPKAPK5-AS1
P33908	MAN1A1
O15525	MAFG
Q9UKM7	MAN1B1
O75444	MAF
Q9UPN3	MACF1
Q13021	MALL
Q13477	MADCAM1
P27816	MAP4
Q9UPY8	MAPRE3
O15232	MATN3
Q8N386	LRRC25
Q9ULH4	LRFN2
Q96FV0	LRRC46
Q9NT99	LRRC4B
Q9Y561	LRP12
Q6P9F7	LRRC8B
A6NIV6	LRRIQ4
Q8N6Y2	LRRC17
Q14114	LRP8
P10253	GAA
Q6UWN5	LYPD5
Q86Y78	LYPD6
Q56UN5	MAP3K19
Q02779	MAP3K10
Q13233	MAP3K1
Q96DS6	MS4A6E
P43365	MAGEA12
P43355	MAGEA1
Q8TD91	MAGEC3
P43358	MAGEA4
P43362	MAGEA9
Q96JG8	MAGED4
O43318	MAP3K7
A6NNE9	MARCH11
P46821	MAP1B
P04201	MAS1
Q14657	LAGE3
P25391	LAMA1
Q9UNZ5	C19orf53
O75387	SLC43A1
Q6UX15	LAYN
Q9UQV4	LAMP3
Q9Y383	LUC7L2
Q5TA82	LCE2D
Q8WX39	LCN9
P06239	LCK
Q9Y5L5	LENEP
Q3B8N2	LGALS9B
Q765P7	MTSS1L
P16150	SPN
Q9BWQ8	FAIM2
Q8NES3	LFNG
Q8N145	LGI3
Q99538	LGMN
Q9HAP6	LIN7B
P07098	LIPF
Q5W064	LIPJ
Q99732	LITAF
P59901	LILRA4
Q2I0M4	LRRC26
Q96JA1	LRIG1
O95237	LRAT
Q6UXM1	LRIG3
Q15048	LRRC14
O75096	LRP4
Q9Y4Z0	LSM4
Q9UFC0	LRWD1
Q8N2S1	LTBP4
P01717	IGLV3-25
A0A075B6K5	IGLV3-9
Q86TE4	LUZP2
A0A0B4J1U3	IGLV1-36
P01700	IGLV1-47
O43325	LYRM1
Q14210	LY6D
A0A075B6K2	IGLV3-12
A0A075B6K0	IGLV3-16
O95372	LYPLA2
P0DM35	MT1HL1
O60336	MAPKBP1
O43920	NDUFS5
Q9H0U3	MAGT1
Q6ZN28	MACC1
Q8IZL2	MAML2
Q9HAY2	MAGEF1
Q96QZ7	MAGI1
Q86UL8	MAGI2
Q9NVZ3	NECAP2
Q92692	NECTIN2
Q96PG2	MS4A10
Q96EH3	MALSU1
Q17RB8	LONRF1
Q496Y0	LONRF3
Q9UBY5	LPAR3
Q8IVV2	LOXHD1
A6NCL2	LRCOL1
P62310	LSM3
O75197	LRP5
Q6UWE0	LRSAM1
Q86X29	LSR
Q6IAA8	LAMTOR1
P29376	LTK
Q9BVC4	MLST8
Q538Z0	LUZP6
O95867	LY6G6C
P01704	IGLV2-14
O15296	ALOX15B
P28300	LOX
Q8N2G4	LYPD1
Q6UXB3	LYPD2
Q567V2	MPV17L2
Q12852	MAP3K12
Q96DT0	LGALS12
Q8N3F0	MTURN
O95202	LETM1
Q9H3R2	MUC13
P15941	MUC1
Q04900	CD164
Q02505	MUC3A
Q9HC84	MUC5B
A8MZ59	LEUTX
Q9UGP4	LIMD1
Q9NUP9	LIN7C
Q5TKA1	LIN9
P53671	LIMK2
Q8NHJ6	LILRB4
A6NK58	LIPT2
Q8NI32	LYPD6B
Q92633	LPAR1
Q8TCA0	LRRC20
Q96CX6	LRRC58
Q6ZQY2	LRRC74B
Q9P244	LRFN1
Q68CR7	LRRC66
Q8N4P6	LRRC71
A6NJI9	LRRC72
Q6ZRR7	LRRC9
Q07954	LRP1
Q8N967	LRTM2
Q9HCC9	ZFYVE28
Q9UHA4	LAMTOR3
P01718	IGLV3-27
Q86V48	LUZP1
A0A087WSX0	IGLV5-45
P04211	IGLV7-43
A0A075B6I0	IGLV8-61
Q86UE4	MTDH
P61626	LYZ
Q17RY6	LY6K
A8MSI8	LYRM9
P14151	SELL
Q6UX82	LYPD8
Q9NPA3	MID1IP1
Q8IYB1	MB21D2
Q16706	MAN2A1
Q9NTJ4	MAN2C1
O60476	MAN1A2
Q96JY0	MAEL
Q92918	MAP4K1
Q8IWC1	MAP7D3
A1Z1Q3	MACROD2
O43708	GSTZ1
Q9Y5V3	MAGED1
F2Z398	LMO7DN
Q9H1C0	LPAR5
Q86WA8	LONP2
Q8WV35	LRRC29
Q96CN5	LRRC45
Q96M69	LRGUK
Q9BTN0	LRFN3
Q9HBL6	LRTM1
A0A0U1RRE5	NBDY
Q8NFP9	NBEA
Q6ZS30	NBEAL1
Q6ZNJ1	NBEAL2
O60934	NBN
Q8IV03	LURAP1L
Q14767	LTBP2
A0A075B6I4	IGLV10-54
O95274	LYPD3
O75951	LYZL6
Q9UI17	DMGDH
P49641	MAN2A2
Q8WZ33	MAFIP
O60675	MAFK
O15480	MAGEB3
Q9BZ81	MAGEB5
Q9Y5Q3	MAFB
P43357	MAGEA3
P43359	MAGEA5
O95382	MAP3K6
O00462	MANBA
Q99608	NDN
Q5SRI9	MANEA
P51512	MMP16
O60882	MMP20
O43813	LANCL1
Q569H4	PRR16
Q6PKG0	LARP1
Q8NBH2	KY
Q15012	LAPTM4A
Q6UWM7	LCTL
Q9UIC8	LCMT1
Q6JVE6	LCN10
Q6ZMV7	LEKR1
Q5T871	LELP1
Q9UJU2	LEF1
P56470	LGALS4
Q8WVC0	LEO1
O43312	MTSS1
Q5HYI7	MTX3
Q5TDP6	LGSN
Q9BXB1	LGR4
P50458	LHX2
Q68G74	LHX8
P15018	LIF
Q9NUN5	LMBRD1
P36776	LONP1
P43657	LPAR6
Q8N456	LRRC18
Q86YD5	LDLRAD3
Q9H2I8	LRMDA
Q86YC3	NRROS
O60711	LPXN
P50851	LRBA
Q9NZR2	LRP1B
Q32MZ4	LRRFIP1
Q8IYG6	LRRC56
Q8N9N7	LRRC57
Q5VUJ6	LRCH2
Q9BX40	LSM14B
Q3MHD2	LSM12
P33241	LSP1
Q9Y2Q5	LAMTOR2
Q6P1Q0	LETMD1
Q14766	LTBP1
Q9NQ29	LUC7L
P80748	IGLV3-21
A0A075B6I1	IGLV4-60
A0A075B6H9	IGLV4-69
Q9P127	LUZP4
P01721	IGLV6-57
P01699	IGLV1-44
A0A0B4J1Y8	IGLV9-49
O95868	LY6G6D
Q9NU23	LYRM2
Q9NX58	LYAR
P12980	LYL1
Q14703	MBTPS1
Q16048	PMCHL1
Q96T53	MBOAT4
Q969V1	MCHR2
P51955	NEK2
P51956	NEK3
P51957	NEK4
P15529	CD46
Q8TDX7	NEK7
P33993	MCM7
Q6DN14	MCTP1
Q9ULC4	MCTS1
P40925	MDH1
Q96KG7	MEGF10
Q7Z6K4	NRARP
Q96F24	NRBF2
O43451	MGAM
A6NG13	MGAT4D
A9UHW6	MIF4GD
Q96PC5	MIA2
Q8TDZ2	MICAL1
Q8TC71	SPATA18
Q7L4E1	MIGA2
Q6UXV4	APOOL
P0DMT0	MRLN
Q9H492	MAP1LC3A
Q969X1	TMBIM1
Q9HBX8	LGR6
Q9UBR4	LHX3
Q9UPQ0	LIMCH1
Q9UPM6	LHX6
P48742	LHX1
Q04760	GLO1
O75334	PPFIA2
Q9Y5X9	LIPG
Q8WWY8	LIPH
Q9BRT6	LLPH
Q6PI73	LILRA6
Q9C0E8	LNPK
Q96Q04	LMTK3
O60663	LMX1B
Q03252	LMNB2
Q6P5Q4	LMOD2
Q0VAK6	LMOD3
Q68DH5	LMBRD2
P16050	ALOX15
Q92539	LPIN2
Q9HBW0	LPAR2
Q53EV4	LRRC23
Q9BV99	LRRC61
Q8N309	LRRC43
Q12912	LRMP
Q6PJG9	LRFN4
Q9BYS8	LRRC2
Q8ND94	LRRN4CL
Q9BY71	LRRC3
Q1X8D7	LRRC36
Q9HCJ2	LRRC4C
